Date,BP
14-02-2024,11158
15-02-2024,11174
16-02-2024,11590
17-02-2024,11430
18-02-2024,11402
19-02-2024,11703
20-02-2024,11429
21-02-2024,11301
22-02-2024,11800
23-02-2024,11814
24-02-2024,11878
25-02-2024,10926
26-02-2024,11310
27-02-2024,10947
28-02-2024,10760
29-02-2024,11149
01-03-2024,11458
02-03-2024,10812
03-03-2024,11245
04-03-2024,10867
05-03-2024,11435
06-03-2024,10725
07-03-2024,10697
08-03-2024,11228
09-03-2024,11377
10-03-2024,11399
11-03-2024,9928
12-03-2024,8653
13-03-2024,7759
14-03-2024,0
15-03-2024,9872
16-03-2024,10502
17-03-2024,9974
18-03-2024,10410
19-03-2024,10963
20-03-2024,10863
21-03-2024,10998
22-03-2024,11007
23-03-2024,11283
24-03-2024,11678
25-03-2024,11421
26-03-2024,11757
27-03-2024,11529
28-03-2024,11481
29-03-2024,11509
30-03-2024,11517
31-03-2024,11012
01-04-2024,11530
02-04-2024,11467
03-04-2024,11556
04-04-2024,11196
05-04-2024,11880
06-04-2024,11764
07-04-2024,11220
08-04-2024,11774
09-04-2024,12213
10-04-2024,12184
11-04-2024,12259
12-04-2024,12316
13-04-2024,12114
14-04-2024,12015
15-04-2024,12239
16-04-2024,12180
17-04-2024,11643
18-04-2024,12214
19-04-2024,11685
20-04-2024,11559
21-04-2024,11909
22-04-2024,12416
23-04-2024,12153
24-04-2024,12188
25-04-2024,11313
26-04-2024,11141
27-04-2024,11551
28-04-2024,11605
29-04-2024,12064
30-04-2024,11334
01-05-2024,9899
02-05-2024,12151
03-05-2024,12463
04-05-2024,12415
05-05-2024,12245
06-05-2024,12578
07-05-2024,12263
08-05-2024,12049
09-05-2024,12455
10-05-2024,12595
11-05-2024,12447
12-05-2024,12358
13-05-2024,12587
14-05-2024,12710
15-05-2024,12330
16-05-2024,12522
17-05-2024,12552
18-05-2024,12337
19-05-2024,12434
20-05-2024,12616
21-05-2024,12625
22-05-2024,12319
23-05-2024,12557
24-05-2024,12613
25-05-2024,12548
26-05-2024,12548
27-05-2024,12730
28-05-2024,12394
29-05-2024,12252
30-05-2024,12243
31-05-2024,12145
01-06-2024,11984
02-06-2024,11790
03-06-2024,12087
04-06-2024,12508
05-06-2024,12060
06-06-2024,12078
07-06-2024,12005
08-06-2024,11804
09-06-2024,11741
10-06-2024,10381
11-06-2024,11588
12-06-2024,11271
13-06-2024,11933
14-06-2024,11851
15-06-2024,11925
16-06-2024,11968
17-06-2024,12410
18-06-2024,12465
19-06-2024,12372
20-06-2024,12489
21-06-2024,11687
22-06-2024,11624
23-06-2024,11324
24-06-2024,11246
25-06-2024,11702
26-06-2024,11443
27-06-2024,11424
28-06-2024,11352
29-06-2024,11547
30-06-2024,12420
01-07-2024,12785
02-07-2024,13011
03-07-2024,12397
04-07-2024,11192
05-07-2024,12098
06-07-2024,10765
07-07-2024,11401
08-07-2024,11628
09-07-2024,12301
10-07-2024,12327
11-07-2024,12213
12-07-2024,12714
13-07-2024,12459
14-07-2024,12694
15-07-2024,12578
16-07-2024,11686
17-07-2024,11595
18-07-2024,11505
19-07-2024,12031
20-07-2024,12778
21-07-2024,12683
22-07-2024,12273
23-07-2024,11928
24-07-2024,12128
25-07-2024,12599
26-07-2024,12861
27-07-2024,12656
28-07-2024,12551
29-07-2024,12719
30-07-2024,12094
31-07-2024,12632
01-08-2024,12711
02-08-2024,12730
03-08-2024,13142
04-08-2024,13488
05-08-2024,13523
06-08-2024,13789
07-08-2024,12997
08-08-2024,12991
09-08-2024,12188
10-08-2024,12787
11-08-2024,13025
12-08-2024,13046
13-08-2024,13023
14-08-2024,12170
